application_id,application_name,cpu_usage,memory_usage,age_years,criticality,compliance_flag,dependency_ids,dependency_count
APP059,reinvent viral initiatives,0.19,0.23,14,Low,0,,0
APP060,monetize impactful metrics,0.38,0.6,11,High,1,"APP059,APP061,APP146,APP053,APP088",5
APP061,seize dot-com content,0.54,0.98,9,High,1,,0
APP062,aggregate revolutionary mindshare,0.54,0.98,12,Low,0,"APP045,APP055,APP146,APP095,APP012",5
APP063,deploy granular functionalities,0.44,0.45,1,High,0,"APP106,APP061,APP141",3
APP064,benchmark web-enabled vortals,0.36,0.58,14,Medium,1,"APP052,APP057,APP022",3
APP065,facilitate scalable channels,0.71,0.61,6,High,0,,0
APP066,re-contextualize compelling synergies,0.93,0.67,14,Medium,1,"APP012,APP142,APP009,APP049,APP126",5
APP067,leverage wireless architectures,0.5,0.72,8,Medium,1,,0
APP068,transition virtual solutions,0.37,0.75,5,High,1,APP063,1
APP069,e-enable mission-critical communities,0.71,0.7,9,Medium,1,"APP078,APP073",2
APP070,synergize magnetic synergies,0.27,0.69,8,Medium,1,"APP002,APP043,APP133,APP009",4
APP071,aggregate open-source functionalities,0.97,0.81,13,Low,1,"APP140,APP139",2
APP072,cultivate innovative technologies,0.28,0.19,15,High,1,"APP079,APP086,APP047",3
APP073,envisioneer strategic users,0.32,0.24,15,High,0,"APP081,APP001,APP034,APP028",4
APP074,empower one-to-one methodologies,0.4,0.33,9,High,0,"APP059,APP019,APP016,APP139",4
APP075,unleash visionary ROI,0.74,0.16,7,Low,1,"APP083,APP007",2
APP076,embrace interactive e-tailers,0.66,0.51,2,High,1,"APP033,APP147,APP117,APP099,APP090",5
APP077,deploy sticky methodologies,0.44,0.63,15,Medium,1,"APP138,APP034,APP003",3
APP078,implement collaborative functionalities,0.92,0.21,9,Medium,0,"APP127,APP060,APP043",3
APP079,aggregate world-class deliverables,0.75,0.89,14,High,0,"APP082,APP076,APP108",3
APP080,generate e-business mindshare,0.13,0.24,2,Low,0,,0
APP081,whiteboard scalable supply-chains,0.43,0.47,10,Low,0,"APP049,APP039,APP145",3
APP082,optimize plug-and-play initiatives,0.67,0.43,1,Medium,1,"APP057,APP049,APP126",3
APP083,grow one-to-one communities,0.88,0.99,9,Low,1,"APP067,APP007",2
APP084,envisioneer holistic web-readiness,0.69,0.45,5,High,0,"APP136,APP140,APP055,APP113,APP034",5
APP085,architect visionary info-mediaries,0.31,1.0,14,Medium,1,"APP125,APP002,APP142,APP081",4
APP086,seize bricks-and-clicks supply-chains,0.45,0.12,11,High,1,APP105,1
APP087,exploit end-to-end action-items,0.89,0.44,5,Medium,1,"APP025,APP053,APP001",3
APP088,morph clicks-and-mortar platforms,0.47,0.24,5,High,0,APP047,1
APP089,empower vertical action-items,0.4,0.19,1,Medium,1,"APP026,APP085,APP091,APP095",4
APP090,brand 24/365 web services,0.92,0.59,11,Low,0,,0
APP091,seize scalable methodologies,0.13,0.38,7,Low,1,"APP135,APP119",2
APP092,transform extensible info-mediaries,0.62,0.56,12,High,0,"APP059,APP110,APP016,APP030,APP072",5
APP093,maximize killer systems,0.95,0.11,11,Low,0,"APP084,APP013",2
APP094,transition distributed synergies,0.56,0.91,15,Low,1,"APP099,APP120,APP048,APP051,APP002",5
APP095,transform magnetic communities,0.33,0.73,3,Medium,0,"APP103,APP104,APP010",3
APP096,engage efficient functionalities,0.18,0.53,8,High,1,"APP143,APP141,APP003,APP128",4
APP097,transition enterprise niches,0.36,0.93,5,Medium,1,"APP098,APP113,APP039,APP080,APP067",5
APP098,integrate customized technologies,0.55,0.7,3,Low,0,"APP040,APP055,APP069",3
APP099,grow extensible deliverables,0.3,0.55,6,Low,0,"APP049,APP085,APP005,APP029",4
APP100,transform value-added models,0.34,0.69,4,High,0,APP107,1
APP101,redefine value-added initiatives,0.82,0.88,7,Medium,1,,0
APP102,incentivize one-to-one models,0.4,0.19,9,Medium,1,"APP044,APP015,APP105,APP024",4
APP103,grow vertical paradigms,0.52,0.66,15,Medium,0,"APP027,APP102,APP100",3
APP104,utilize enterprise e-markets,0.91,0.93,2,Low,1,"APP087,APP053,APP012",3
APP105,facilitate user-centric ROI,0.66,0.75,6,Medium,0,"APP137,APP079,APP035,APP014",4
APP106,matrix 24/365 synergies,0.6,0.54,7,Medium,1,APP121,1
APP107,integrate granular models,0.58,0.97,1,Low,0,"APP007,APP069",2
APP108,benchmark magnetic technologies,0.39,0.46,4,Medium,1,"APP039,APP085,APP011,APP053",4
APP109,incentivize open-source partnerships,0.47,0.92,7,Medium,1,"APP077,APP062,APP054",3
APP110,transition dynamic channels,0.47,0.37,11,Medium,1,"APP113,APP057,APP131,APP020",4
APP111,iterate collaborative platforms,0.78,0.24,11,High,0,"APP133,APP010,APP028,APP016,APP069",5
APP112,integrate extensible applications,0.99,0.99,14,High,1,"APP146,APP052,APP141,APP024,APP137",5
APP113,expedite mission-critical markets,0.45,0.89,1,High,0,"APP072,APP094",2
APP114,seize cutting-edge paradigms,0.74,0.6,4,Medium,1,"APP078,APP004,APP038,APP047",4
APP115,transform leading-edge web-readiness,0.39,0.69,8,Medium,1,,0
APP116,revolutionize plug-and-play portals,0.5,0.8,8,High,1,"APP034,APP003,APP041,APP125,APP086",5
APP117,maximize ubiquitous applications,0.68,0.45,7,Low,0,APP115,1
APP118,benchmark distributed e-services,0.71,0.97,10,High,1,APP115,1
APP119,visualize integrated portals,0.63,0.83,11,High,1,"APP005,APP041,APP117,APP031,APP105",5
APP120,extend user-centric users,0.96,0.64,14,Medium,0,APP082,1
APP121,drive holistic supply-chains,0.62,0.65,1,Medium,1,"APP055,APP022,APP040",3
APP122,re-contextualize visionary deliverables,0.66,0.88,7,Medium,1,"APP043,APP012,APP094,APP075,APP061",5
APP123,engage front-end e-tailers,0.58,0.71,8,Low,0,APP039,1
APP124,brand frictionless e-services,0.57,0.24,3,Low,0,,0
APP125,synergize compelling convergence,0.22,0.93,11,High,1,"APP048,APP050,APP036,APP074",4
APP126,integrate revolutionary interfaces,0.88,0.91,7,Low,1,,0
APP127,transform vertical networks,0.83,0.32,9,High,1,APP048,1
APP128,seize B2B ROI,0.17,0.84,11,Medium,1,"APP119,APP055,APP038,APP095,APP101",5
APP129,harness global markets,0.56,0.55,7,High,1,"APP081,APP041,APP133,APP108",4
APP130,syndicate cross-media e-tailers,0.32,0.91,14,High,0,"APP074,APP043,APP122,APP112",4
APP131,generate world-class channels,0.86,0.58,4,Medium,0,"APP039,APP002,APP014",3
APP132,revolutionize interactive paradigms,0.23,0.48,4,High,0,"APP058,APP110,APP073,APP076",4
APP133,target user-centric info-mediaries,0.61,0.76,15,High,1,"APP037,APP051",2
APP134,envisioneer distributed e-markets,0.51,0.74,4,High,0,,0
APP135,morph dynamic partnerships,0.58,0.38,10,Medium,1,"APP051,APP100,APP096,APP014",4
APP136,embrace 24/365 models,0.31,0.34,15,Low,1,"APP018,APP014,APP142",3
APP137,transition proactive vortals,0.33,0.31,6,High,1,,0
APP138,unleash out-of-the-box mindshare,0.78,0.39,6,Medium,1,,0
APP139,morph seamless e-tailers,0.91,0.96,11,Low,0,APP076,1
APP140,innovate next-generation niches,0.4,0.15,10,Medium,0,"APP142,APP076,APP022,APP083,APP023",5
APP141,expedite web-enabled systems,0.66,0.36,12,Medium,1,"APP118,APP103,APP091,APP145,APP007",5
APP142,grow synergistic applications,0.53,0.51,1,High,0,APP037,1
APP143,enable revolutionary e-markets,0.72,0.44,2,Low,0,,0
APP144,whiteboard enterprise ROI,0.31,0.4,5,High,0,,0
APP145,matrix 24/365 experiences,0.64,0.18,5,High,1,"APP076,APP107,APP141",3
APP146,optimize impactful eyeballs,0.77,0.82,15,Medium,0,"APP013,APP048,APP131,APP076,APP022",5
APP147,benchmark scalable synergies,0.52,0.27,6,Medium,1,,0
APP148,extend out-of-the-box e-markets,0.92,0.62,12,Low,0,APP082,1
APP149,innovate dot-com initiatives,0.3,0.37,1,Medium,0,"APP025,APP123",2
APP150,whiteboard bleeding-edge metrics,0.73,0.74,9,High,1,APP042,1
