application_id,application_name,cpu_usage,memory_usage,age_years,criticality,compliance_flag,dependency_ids,dependency_count
APP038,orchestrate rich e-services,0.15,0.33,4,Medium,1,"APP251,APP252,APP063",3
APP039,repurpose back-end functionalities,0.19,0.62,14,Low,1,"APP693,APP955,APP849,APP732,APP266",5
APP040,deliver compelling platforms,0.6,0.18,13,Low,0,"APP303,APP312",2
APP041,implement dynamic supply-chains,0.98,0.28,14,Medium,1,APP945,1
APP042,incentivize impactful ROI,0.23,0.41,5,High,0,"APP841,APP356",2
APP043,unleash compelling partnerships,0.59,0.36,3,Medium,1,"APP497,APP652,APP187",3
APP044,transform front-end technologies,0.24,0.15,4,High,1,0,0
APP045,transition bricks-and-clicks infrastructures,0.78,0.66,7,Low,0,0,0
APP046,aggregate customized users,0.83,0.48,8,High,0,"APP429,APP804,APP203",3
APP047,incubate strategic architectures,0.5,0.77,10,Medium,0,"APP827,APP389",2
APP048,empower leading-edge web-readiness,0.14,0.58,12,Low,1,"APP867,APP827,APP972,APP143",4
APP049,exploit visionary networks,0.93,0.75,10,Low,0,0,0
APP050,facilitate viral partnerships,0.77,0.64,12,High,1,"APP769,APP044,APP763,APP430,APP119",5
APP051,aggregate viral models,0.84,0.95,14,Medium,0,"APP400,APP236,APP194",3
APP052,strategize visionary functionalities,0.31,0.58,6,Medium,0,"APP595,APP484",2
APP053,strategize interactive e-business,0.97,0.14,15,Low,0,"APP821,APP112,APP752,APP306",4
APP054,strategize viral synergies,0.24,0.2,10,High,0,"APP762,APP462,APP551",3
APP055,productize extensible e-commerce,0.33,0.19,2,Medium,1,"APP299,APP138,APP532,APP761,APP317",5
APP056,facilitate e-business markets,0.4,0.52,5,Medium,1,"APP422,APP807,APP464,APP745",4
APP057,mesh frictionless e-commerce,0.52,0.59,12,High,0,"APP934,APP916",2
APP058,empower global communities,0.77,0.45,2,High,0,"APP437,APP837",2
APP059,deliver sticky action-items,0.44,0.88,2,Low,1,"APP578,APP562,APP851,APP088",4
APP060,whiteboard B2B initiatives,0.5,0.99,8,Low,1,APP566,1
APP061,matrix end-to-end eyeballs,0.41,0.69,13,Medium,0,"APP504,APP789,APP083",3
APP062,reinvent turn-key e-markets,0.11,0.2,8,Low,1,0,0
APP063,architect customized action-items,0.11,0.2,14,Low,0,"APP418,APP058",2
APP064,orchestrate value-added e-business,0.26,0.61,15,Low,0,"APP597,APP296,APP726,APP542",4
APP065,enhance one-to-one solutions,0.15,0.69,5,High,1,0,0
APP066,incentivize cross-media e-markets,0.74,0.19,10,High,1,"APP575,APP107",2
APP067,generate granular eyeballs,0.12,0.78,13,Medium,1,"APP756,APP072,APP567,APP910",4
APP068,synthesize vertical architectures,0.79,0.38,15,Medium,0,"APP336,APP452,APP030,APP613",4
APP069,e-enable sticky users,0.89,0.78,5,Low,0,"APP807,APP446,APP780,APP201,APP507",5
APP070,exploit revolutionary networks,0.75,0.92,6,High,0,"APP915,APP681,APP775,APP931,APP203",5
APP071,implement vertical models,1.0,0.79,13,Low,1,"APP015,APP258,APP413",3
APP072,aggregate 24/365 e-commerce,0.26,0.75,5,Low,1,APP150,1
APP073,drive best-of-breed supply-chains,0.68,0.44,10,High,0,0,0
APP074,whiteboard strategic communities,0.13,0.55,3,High,0,"APP190,APP447,APP562",3
APP075,incubate customized content,0.91,0.97,13,Medium,1,"APP231,APP578",2
APP076,deliver enterprise e-business,0.75,0.87,7,Low,0,"APP728,APP538",2
APP077,maximize clicks-and-mortar architectures,0.94,0.94,8,Medium,1,"APP812,APP142",2
APP078,generate robust web-readiness,0.32,0.96,6,High,1,"APP352,APP894,APP319",3
APP079,exploit next-generation vortals,0.75,0.91,1,Low,0,"APP684,APP615,APP999,APP489,APP697",5
APP080,productize 24/7 platforms,0.74,0.52,14,Medium,0,"APP904,APP678,APP748,APP490",4
APP081,expedite one-to-one communities,0.65,0.39,6,High,1,APP092,1
APP082,engage compelling solutions,0.35,0.68,4,Low,1,0,0
APP083,envisioneer ubiquitous models,0.78,0.29,13,Low,1,"APP332,APP904,APP840,APP366",4
APP084,extend viral content,0.24,0.16,1,High,1,APP069,1
APP085,strategize seamless synergies,0.97,0.25,15,High,0,0,0
APP086,innovate customized vortals,0.89,0.46,10,High,0,APP911,1
APP087,harness end-to-end action-items,0.51,0.35,8,Medium,1,APP851,1
APP088,innovate e-business supply-chains,0.98,0.42,10,Low,0,"APP472,APP450,APP575,APP349,APP090",5
APP089,visualize virtual vortals,0.97,0.38,2,High,1,"APP760,APP722,APP783,APP361,APP407",5
APP090,engage value-added e-services,0.21,0.37,10,Low,1,"APP975,APP725,APP699,APP152",4
APP091,cultivate best-of-breed deliverables,0.28,0.73,5,Medium,0,"APP960,APP001",2
APP092,morph e-business supply-chains,0.16,0.46,13,Low,0,APP455,1
APP093,deploy distributed web services,0.33,0.42,7,High,1,"APP751,APP927,APP357",3
APP094,transition holistic models,0.13,0.32,2,High,1,"APP552,APP698,APP193",3
APP095,engineer real-time users,0.7,0.24,11,Low,0,"APP116,APP259",2
APP096,utilize cross-media applications,0.72,0.64,10,High,1,"APP333,APP925,APP059,APP379",4
APP097,target rich metrics,0.52,0.98,7,High,1,"APP461,APP685",2
APP098,re-contextualize e-business web-readiness,0.31,0.94,12,Low,1,APP589,1
APP099,syndicate innovative methodologies,0.4,0.49,1,High,0,"APP851,APP289,APP330,APP605,APP446",5
APP100,reinvent transparent eyeballs,0.81,0.57,10,High,0,"APP529,APP490,APP368,APP191,APP112",5
APP101,seize out-of-the-box platforms,0.79,0.66,2,Low,1,"APP582,APP282",2
APP102,optimize out-of-the-box info-mediaries,0.83,0.63,1,Low,0,"APP507,APP661,APP484,APP608,APP784",5
APP103,innovate extensible markets,0.88,0.9,9,High,0,"APP487,APP054,APP903",3
APP104,exploit robust convergence,0.76,0.83,8,High,1,0,0
APP105,evolve collaborative portals,0.8,0.81,2,Medium,0,APP633,1
APP106,extend bricks-and-clicks niches,0.82,0.31,2,High,1,APP362,1
APP107,e-enable real-time paradigms,0.29,0.38,14,Low,1,0,0
APP108,utilize real-time infrastructures,0.48,0.69,3,Medium,1,0,0
APP109,incubate virtual e-tailers,0.28,0.12,1,High,0,"APP033,APP064,APP589,APP776,APP181",5
APP110,matrix holistic models,0.56,0.6,8,Medium,0,APP202,1
APP111,empower scalable info-mediaries,0.74,0.55,8,High,0,"APP241,APP652,APP467,APP261",4
APP112,e-enable global e-markets,0.23,0.48,10,Low,0,0,0
APP113,transition real-time systems,0.32,0.59,8,High,0,0,0
APP114,unleash magnetic metrics,0.82,0.74,1,Low,1,APP600,1
APP115,engineer back-end niches,0.89,0.62,5,High,0,0,0
APP116,implement next-generation web-readiness,0.81,0.54,3,Medium,0,"APP870,APP026,APP278,APP472",4
APP117,evolve dot-com e-services,0.69,0.1,10,Low,1,"APP114,APP907,APP673",3
APP118,optimize viral deliverables,0.46,0.64,9,Medium,1,"APP947,APP327,APP946",3
APP119,engage global communities,0.32,0.19,6,Medium,1,"APP320,APP844,APP642,APP950,APP435",5
APP120,transition B2B systems,0.87,0.45,7,Low,0,"APP344,APP541,APP608,APP633,APP490",5
APP121,exploit B2C experiences,0.25,0.92,10,Low,1,"APP503,APP904",2
APP122,re-contextualize scalable interfaces,0.89,0.83,13,High,0,APP195,1
APP123,evolve B2B e-services,0.8,0.18,3,Low,1,"APP132,APP272,APP914,APP376,APP153",5
APP124,incubate end-to-end initiatives,0.38,0.33,5,Medium,1,APP102,1
APP125,optimize bleeding-edge experiences,0.93,0.61,3,High,0,"APP996,APP833,APP845",3
APP126,enable efficient niches,0.15,0.85,10,Medium,0,APP100,1
APP127,redefine best-of-breed eyeballs,0.74,0.42,10,Low,0,"APP305,APP979,APP249,APP026",4
APP128,evolve synergistic paradigms,0.68,0.96,13,Medium,0,"APP220,APP665,APP899,APP567",4
APP129,deploy dot-com portals,0.33,0.86,3,High,1,"APP925,APP096",2
APP130,innovate strategic mindshare,0.9,0.54,14,High,1,"APP362,APP653,APP947,APP888,APP529",5
APP131,revolutionize synergistic systems,0.42,0.12,13,Medium,1,"APP443,APP078,APP154,APP350,APP696",5
APP132,implement mission-critical models,0.36,0.66,15,High,0,0,0
APP133,morph plug-and-play models,0.24,0.43,5,High,0,APP547,1
APP134,re-intermediate intuitive e-business,0.62,0.55,8,Medium,0,"APP313,APP013,APP676",3
APP135,disintermediate clicks-and-mortar applications,0.99,0.46,6,High,1,"APP719,APP551,APP342",3
APP136,unleash turn-key networks,0.6,0.99,7,Medium,0,"APP365,APP874,APP792,APP236",4
APP137,implement integrated architectures,0.26,0.11,10,High,0,"APP741,APP865",2
APP138,matrix robust markets,0.68,0.65,4,High,0,"APP352,APP521,APP661",3
APP139,orchestrate proactive metrics,0.4,0.9,3,High,0,"APP412,APP162",2
APP140,brand plug-and-play experiences,0.73,0.82,2,Medium,1,"APP470,APP763,APP869,APP194,APP397",5
APP141,incubate distributed e-services,0.55,0.97,13,High,0,"APP889,APP509,APP702,APP577,APP839",5
APP142,synthesize impactful metrics,0.54,0.19,13,Low,1,"APP284,APP902,APP430",3
APP143,maximize impactful e-markets,0.85,0.25,2,Medium,1,"APP692,APP138",2
APP144,syndicate extensible functionalities,0.14,0.6,1,Medium,1,"APP407,APP911",2
APP145,productize 24/365 models,0.55,0.11,5,High,1,APP640,1
APP146,transition out-of-the-box infrastructures,0.72,0.32,12,High,1,"APP692,APP095,APP454,APP026,APP526",5
APP147,embrace real-time metrics,0.35,0.44,4,High,1,"APP950,APP670",2
APP148,cultivate seamless niches,0.79,0.13,1,Medium,0,"APP144,APP267,APP351,APP568",4
APP149,streamline granular architectures,0.89,0.25,7,Low,0,"APP387,APP251,APP234,APP469",4
APP150,enable world-class eyeballs,0.77,0.39,8,Medium,0,"APP575,APP457,APP589,APP738",4
APP151,seize killer portals,0.92,0.86,3,Low,0,"APP693,APP407,APP947",3
APP152,leverage 24/7 architectures,0.62,0.37,12,High,0,"APP948,APP688",2
APP153,e-enable wireless applications,0.18,0.89,11,Low,1,"APP595,APP311,APP635,APP741,APP256",5
APP154,incubate web-enabled web-readiness,0.69,0.65,14,High,1,0,0
APP155,evolve open-source systems,0.52,0.31,6,Low,1,"APP784,APP539,APP752,APP551,APP398",5
APP156,utilize bricks-and-clicks technologies,0.63,0.45,13,Low,1,"APP898,APP115,APP783,APP924,APP094",5
APP157,orchestrate open-source communities,0.7,0.52,12,High,1,0,0
APP158,optimize vertical action-items,0.15,0.14,10,High,0,"APP505,APP713,APP076,APP643",4
APP159,transform cross-platform schemas,0.93,0.65,13,Medium,0,"APP571,APP455",2
APP160,integrate end-to-end ROI,0.4,0.7,7,Medium,1,"APP811,APP762,APP331",3
APP161,scale next-generation markets,0.83,0.68,12,High,1,"APP930,APP780,APP405,APP400",4
APP162,unleash innovative solutions,0.22,1.0,2,Low,0,0,0
APP163,scale innovative info-mediaries,0.39,0.15,14,Low,0,"APP854,APP470,APP431,APP786,APP304",5
APP164,revolutionize integrated vortals,0.73,0.14,13,High,0,APP134,1
APP165,leverage bleeding-edge paradigms,0.81,0.11,6,High,0,"APP223,APP620",2
APP166,whiteboard open-source e-tailers,0.44,0.51,5,Medium,1,"APP718,APP469,APP546,APP787",4
APP167,expedite web-enabled metrics,1.0,0.78,13,Low,1,APP118,1
APP168,syndicate granular networks,0.11,1.0,7,Medium,1,"APP006,APP981,APP081,APP699,APP860",5
APP169,revolutionize e-business eyeballs,0.69,0.14,10,Medium,0,"APP764,APP872,APP215",3
APP170,strategize impactful markets,0.59,0.94,8,Medium,0,APP598,1
APP171,target seamless e-tailers,0.35,0.6,15,Medium,0,"APP209,APP500,APP456,APP012",4
APP172,benchmark impactful functionalities,0.76,0.26,3,High,1,"APP563,APP195,APP675,APP901,APP153",5
APP173,re-intermediate e-business communities,0.53,0.32,11,Medium,1,"APP217,APP227,APP556",3
APP174,revolutionize virtual content,0.69,0.87,3,Medium,0,0,0
APP175,deploy world-class infrastructures,0.46,0.59,3,High,0,"APP437,APP323",2
APP176,unleash real-time niches,0.29,0.95,3,Medium,1,APP177,1
APP177,utilize virtual technologies,0.33,0.66,8,Low,1,"APP304,APP449,APP932,APP048",4
APP178,reinvent dynamic interfaces,0.58,0.24,12,High,1,"APP501,APP989,APP540",3
APP179,incentivize user-centric e-services,0.51,0.88,1,High,0,0,0
APP180,utilize next-generation initiatives,0.56,0.62,2,High,1,"APP793,APP714",2
APP181,matrix global web services,0.36,0.57,6,Low,1,"APP780,APP774",2
APP182,harness cutting-edge partnerships,0.78,0.31,13,Low,1,"APP896,APP572",2
APP183,streamline real-time e-commerce,0.75,0.67,11,Medium,0,"APP471,APP813,APP664,APP933,APP122",5
APP184,implement value-added convergence,0.7,0.44,8,High,1,"APP955,APP047,APP237,APP602,APP466",5
APP185,innovate bricks-and-clicks solutions,0.61,0.1,14,Low,1,"APP954,APP300,APP689,APP568,APP148",5
APP186,scale value-added portals,0.63,0.98,2,High,0,"APP349,APP180,APP582,APP355",4
APP187,embrace sticky paradigms,0.75,0.36,1,Low,1,"APP225,APP395,APP247,APP121,APP548",5
APP188,seize front-end technologies,0.69,0.63,10,Low,0,"APP440,APP921",2
APP189,streamline B2B convergence,0.55,0.28,6,High,1,0,0
APP190,embrace real-time convergence,0.76,0.11,3,Low,0,"APP005,APP371,APP065",3
APP191,optimize holistic e-commerce,0.28,0.25,8,Low,1,0,0
APP192,reinvent user-centric systems,0.49,0.19,8,Low,0,"APP531,APP585,APP047,APP458,APP600",5
APP193,cultivate vertical technologies,0.3,0.9,12,Low,0,"APP272,APP611,APP533,APP829,APP423",5
APP194,harness proactive applications,0.74,0.65,2,Medium,1,"APP668,APP454",2
APP195,syndicate bleeding-edge metrics,0.24,0.69,4,Medium,1,0,0
APP196,synthesize transparent e-commerce,0.51,0.33,7,Low,0,"APP169,APP758,APP769,APP353",4
APP197,deliver granular convergence,0.26,0.18,10,Low,0,APP087,1
APP198,visualize front-end web-readiness,0.15,0.2,10,Low,1,"APP016,APP705,APP885,APP322",4
APP199,harness B2C web services,0.6,0.51,5,High,0,APP504,1
APP200,generate extensible systems,0.65,0.77,15,Medium,1,"APP311,APP309",2
APP201,seize sticky initiatives,0.83,0.68,5,Medium,0,0,0
APP202,grow seamless initiatives,0.36,0.11,13,High,0,0,0
APP203,synergize customized platforms,0.26,0.16,7,Medium,0,"APP021,APP670,APP307,APP047",4
APP204,re-intermediate web-enabled paradigms,0.1,0.63,7,High,0,"APP810,APP542,APP262,APP719,APP551",5
APP205,repurpose enterprise eyeballs,0.97,0.64,9,High,0,APP847,1
APP206,synthesize wireless functionalities,0.79,0.71,8,Low,0,"APP197,APP766,APP481",3
APP207,drive distributed models,0.78,0.86,7,Low,0,"APP262,APP084,APP973,APP516",4
APP208,mesh 24/365 interfaces,0.14,0.79,14,High,1,"APP953,APP515",2
APP209,aggregate plug-and-play partnerships,0.77,0.39,15,High,1,"APP234,APP213,APP202,APP230",4
APP210,incubate enterprise relationships,0.72,0.48,12,Medium,0,"APP135,APP577,APP877,APP016",4
APP211,deliver distributed mindshare,0.51,0.64,4,High,0,"APP205,APP842,APP412,APP202",4
APP212,deploy cutting-edge applications,0.98,0.87,2,Low,0,"APP030,APP551",2
APP213,cultivate synergistic models,0.2,0.34,15,Medium,1,"APP350,APP401,APP134,APP844,APP046",5
APP214,streamline world-class paradigms,0.61,0.48,14,Medium,0,"APP359,APP589,APP409",3
APP215,streamline 24/365 e-business,0.65,0.54,1,High,1,0,0
APP216,target efficient deliverables,0.15,0.64,3,Low,1,"APP362,APP095,APP844,APP991,APP005",5
APP217,facilitate best-of-breed communities,0.31,0.22,5,Low,0,0,0
APP218,harness plug-and-play e-services,0.12,0.61,11,Medium,0,"APP286,APP577,APP412,APP653",4
APP219,syndicate interactive web-readiness,0.25,0.44,3,Low,0,"APP357,APP166,APP812,APP918",4
APP220,target clicks-and-mortar e-business,0.69,0.75,6,Low,1,APP312,1
APP221,expedite 24/7 experiences,0.73,0.34,1,Medium,0,"APP615,APP194,APP479",3
APP222,facilitate innovative e-markets,0.47,0.64,3,Medium,0,"APP709,APP706,APP247",3
APP223,deploy seamless e-services,0.49,0.75,1,Low,0,"APP698,APP155,APP665,APP813,APP871",5
APP224,leverage end-to-end partnerships,0.52,0.55,13,Medium,1,0,0
APP225,facilitate 24/7 communities,0.19,0.5,11,High,0,APP495,1
APP226,orchestrate ubiquitous niches,0.34,0.9,12,Medium,1,"APP708,APP034",2
APP227,synergize visionary initiatives,0.34,0.13,9,High,0,"APP385,APP947",2
APP228,grow global ROI,0.84,0.25,2,High,1,APP874,1
APP229,integrate front-end markets,0.57,0.5,3,Medium,0,"APP145,APP141",2
APP230,revolutionize best-of-breed ROI,0.59,0.38,15,High,1,"APP717,APP271,APP940",3
APP231,matrix holistic functionalities,0.29,0.33,9,Medium,0,"APP630,APP452,APP575,APP177",4
APP232,exploit global experiences,0.77,0.56,11,High,1,"APP891,APP624,APP078,APP484,APP700",5
APP233,whiteboard best-of-breed action-items,0.19,0.18,4,Low,0,0,0
APP234,drive customized ROI,0.57,0.14,11,Medium,0,0,0
APP235,extend global action-items,0.92,0.7,3,Medium,1,0,0
APP236,revolutionize integrated experiences,0.46,0.55,11,High,0,APP824,1
APP237,whiteboard interactive paradigms,0.49,0.56,15,High,1,APP271,1
APP238,syndicate viral initiatives,0.99,0.18,9,Medium,0,0,0
APP239,aggregate transparent vortals,0.97,0.34,14,High,0,"APP310,APP626,APP371,APP366",4
APP240,repurpose leading-edge deliverables,0.27,0.93,9,Low,1,0,0
APP241,engineer efficient initiatives,0.68,0.96,11,Medium,1,"APP187,APP069,APP459,APP112",4
APP242,re-contextualize one-to-one web-readiness,0.32,0.49,2,Low,1,0,0
APP243,redefine rich applications,0.47,0.96,2,Low,0,0,0
APP244,maximize dot-com schemas,0.63,0.55,4,High,0,0,0
APP245,whiteboard robust e-tailers,0.34,0.92,6,High,0,"APP333,APP975",2
APP246,cultivate intuitive users,0.55,0.5,2,High,1,0,0
APP247,e-enable visionary interfaces,0.64,0.37,1,Medium,1,APP414,1
APP248,transform seamless web-readiness,0.16,0.51,9,Low,0,"APP288,APP816,APP842,APP956,APP098",5
APP249,transition rich e-business,0.29,0.29,2,Medium,0,"APP009,APP859,APP330,APP682",4
APP250,e-enable transparent markets,0.9,0.76,5,High,0,"APP949,APP155,APP295,APP986",4
APP251,engineer mission-critical e-tailers,0.24,0.62,15,Low,0,"APP049,APP713,APP515,APP667",4
APP252,iterate front-end infrastructures,0.26,0.8,7,Low,0,"APP003,APP320",2
APP253,mesh efficient e-commerce,0.56,0.57,2,High,0,"APP557,APP832,APP503,APP230,APP564",5
APP254,extend synergistic experiences,0.1,0.72,12,High,0,APP481,1
APP255,revolutionize B2C systems,0.53,0.86,6,Medium,0,"APP893,APP077,APP573,APP195,APP315",5
APP256,repurpose end-to-end systems,0.6,0.37,8,High,1,"APP789,APP779,APP785,APP853,APP393",5
APP257,strategize out-of-the-box initiatives,0.47,0.82,11,Low,1,"APP283,APP441,APP634",3
APP258,synthesize integrated info-mediaries,0.75,0.1,11,Low,0,0,0
APP259,maximize killer deliverables,0.86,0.45,3,Low,0,0,0
APP260,synthesize front-end web-readiness,0.13,0.2,11,Low,1,"APP721,APP497,APP085",3
APP261,envisioneer compelling models,0.18,0.69,13,Medium,0,APP558,1
APP262,incentivize intuitive info-mediaries,0.64,0.87,5,High,1,0,0
APP263,iterate 24/365 info-mediaries,0.16,0.67,4,High,1,"APP863,APP916",2
APP264,engage out-of-the-box e-markets,0.22,0.82,8,Low,1,"APP074,APP861,APP691",3
APP265,implement innovative partnerships,0.86,0.87,12,Low,0,"APP723,APP874,APP687",3
APP266,unleash cutting-edge niches,0.87,0.28,14,Low,0,"APP254,APP982,APP157,APP961,APP551",5
APP267,iterate holistic systems,0.49,0.19,5,Medium,0,"APP868,APP971,APP309,APP749",4
APP268,seize efficient solutions,0.21,0.79,13,Medium,1,"APP436,APP759,APP319",3
APP269,engage robust e-tailers,0.17,0.56,14,High,0,APP342,1
APP270,monetize integrated channels,0.35,0.31,8,Low,0,"APP642,APP090,APP962,APP452,APP447",5
APP271,iterate next-generation eyeballs,0.83,0.4,14,High,0,0,0
APP272,enhance compelling e-markets,0.3,0.32,14,High,0,"APP086,APP909,APP974,APP249,APP958",5
APP273,integrate plug-and-play e-markets,0.62,0.35,10,High,0,APP004,1
APP274,brand global e-services,0.63,0.95,14,Medium,1,"APP479,APP431,APP142",3
APP275,scale virtual e-services,0.28,0.52,5,Medium,0,"APP566,APP547,APP747",3
APP276,integrate enterprise eyeballs,0.71,0.57,9,Low,0,"APP545,APP485,APP244,APP159,APP854",5
APP277,leverage efficient channels,0.38,0.29,4,High,1,"APP451,APP477",2
APP278,envisioneer collaborative e-services,0.58,0.47,8,High,1,"APP097,APP874",2
APP279,revolutionize robust eyeballs,0.45,0.31,8,Low,0,0,0
APP280,whiteboard virtual relationships,0.88,0.3,10,Low,1,"APP206,APP106,APP948,APP736",4
APP281,seize mission-critical infrastructures,0.23,0.42,4,Low,1,"APP536,APP852,APP559,APP325,APP444",5
APP282,monetize ubiquitous niches,0.32,0.64,11,Medium,1,"APP295,APP349",2
APP283,transform leading-edge niches,0.93,0.57,14,High,0,"APP154,APP852,APP459,APP612",4
APP284,syndicate best-of-breed e-commerce,0.57,0.77,8,Medium,0,"APP955,APP633,APP453",3
APP285,exploit one-to-one e-markets,0.74,0.42,6,Low,0,APP929,1
APP286,utilize web-enabled e-business,0.6,0.86,2,High,1,"APP971,APP806,APP002,APP886",4
APP287,cultivate one-to-one e-markets,0.66,0.44,12,Low,0,APP313,1
APP288,matrix sticky markets,0.3,0.57,12,Low,0,0,0
APP289,strategize B2C e-tailers,0.18,0.62,6,Low,1,"APP026,APP703",2
APP290,extend best-of-breed markets,0.14,0.88,5,High,0,APP233,1
APP291,streamline out-of-the-box mindshare,0.85,0.51,7,Medium,1,APP328,1
APP292,whiteboard back-end vortals,0.28,0.58,2,Medium,1,"APP715,APP807,APP470,APP668",4
APP293,productize visionary infrastructures,0.11,0.69,10,Medium,0,"APP778,APP357,APP551,APP955",4
APP294,re-intermediate B2B web-readiness,0.38,0.22,3,Medium,1,"APP657,APP500,APP821,APP276,APP718",5
APP295,envisioneer distributed web services,0.28,0.15,14,Medium,0,"APP058,APP790,APP392,APP896",4
APP296,synthesize back-end networks,0.29,0.96,2,High,0,APP438,1
APP297,enable impactful info-mediaries,0.92,0.25,14,Low,1,"APP784,APP521,APP266,APP715,APP362",5
APP298,brand cross-media systems,0.64,0.94,1,Low,0,"APP368,APP786",2
APP299,optimize impactful platforms,0.47,0.55,4,High,1,"APP884,APP538,APP629,APP886",4
APP300,matrix real-time content,0.69,0.2,3,Low,1,"APP445,APP480,APP698",3
APP301,engineer compelling content,0.5,0.67,15,High,0,"APP792,APP828,APP756,APP877,APP937",5
APP302,transition strategic infrastructures,0.29,0.14,13,Medium,0,"APP941,APP313,APP466,APP261",4
APP303,matrix efficient systems,0.56,0.85,8,Low,1,"APP305,APP547,APP973,APP816",4
APP304,embrace 24/365 models,0.54,0.87,15,Low,0,0,0
APP305,disintermediate value-added solutions,0.94,0.48,8,Low,0,"APP402,APP499,APP065,APP630",4
APP306,whiteboard virtual methodologies,0.15,0.41,15,Low,1,"APP673,APP423,APP679,APP767",4
APP307,streamline revolutionary technologies,0.69,0.39,14,High,1,"APP350,APP072,APP497,APP618",4
APP308,transform compelling systems,0.13,0.8,12,Medium,1,0,0
APP309,synergize B2C info-mediaries,0.67,0.29,14,High,0,"APP006,APP334",2
APP310,implement extensible networks,0.58,0.41,10,Low,1,APP373,1
APP311,envisioneer innovative e-commerce,0.98,0.72,6,Medium,1,"APP165,APP276,APP425,APP572,APP353",5
APP312,integrate virtual interfaces,0.92,0.96,2,High,0,APP920,1
APP313,architect bleeding-edge e-services,0.69,0.65,12,High,1,"APP904,APP992,APP125,APP005,APP872",5
APP314,transform rich markets,0.23,0.68,3,Low,1,"APP566,APP051",2
APP315,deploy rich e-markets,0.27,0.66,3,High,1,"APP003,APP433,APP829",3
APP316,cultivate back-end vortals,0.52,0.44,8,Medium,0,0,0
APP317,expedite 24/365 systems,0.78,0.56,9,Low,1,"APP170,APP888,APP526,APP049",4
APP318,cultivate B2B communities,0.68,0.81,2,Low,0,0,0
APP319,repurpose vertical channels,0.21,0.12,9,High,0,"APP849,APP370,APP407,APP486,APP254",5
