application_id,application_name,cpu_usage,memory_usage,age_years,criticality,compliance_flag,dependency_ids,dependency_count
APP103,visualize compelling eyeballs,0.27,0.75,12,High,1,"APP660,APP268,APP470,APP078",4
APP104,syndicate magnetic info-mediaries,0.9,0.6,13,Low,0,"APP570,APP048",2
APP105,enable 24/365 models,0.12,0.49,12,High,1,0,0
APP106,unleash web-enabled applications,0.6,0.78,13,High,1,APP635,1
APP107,re-intermediate sticky architectures,0.55,0.73,12,Low,0,"APP004,APP664,APP636,APP370",4
APP108,mesh global methodologies,0.26,0.95,13,High,0,APP698,1
APP109,repurpose vertical platforms,0.43,0.84,5,Medium,1,0,0
APP110,innovate killer functionalities,0.38,0.81,11,Medium,1,"APP050,APP562,APP612,APP065,APP198",5
APP111,enhance front-end interfaces,0.78,0.14,12,Low,0,APP181,1
APP112,enhance virtual infrastructures,0.52,0.29,3,High,1,"APP391,APP182,APP323",3
APP113,harness compelling communities,0.81,0.34,12,Low,1,"APP451,APP256,APP341,APP609",4
APP114,aggregate interactive infrastructures,0.94,0.33,12,High,0,"APP020,APP439",2
APP115,innovate dot-com e-tailers,0.82,0.42,3,Medium,1,"APP669,APP656",2
APP116,facilitate enterprise web services,0.45,0.99,14,Low,0,"APP627,APP506,APP276,APP240",4
APP117,innovate end-to-end supply-chains,0.89,0.24,14,Low,0,APP544,1
APP118,extend impactful ROI,0.12,0.54,9,High,1,"APP696,APP446,APP570,APP588,APP157",5
APP119,transform compelling paradigms,0.32,0.78,12,Medium,0,0,0
APP120,exploit proactive interfaces,0.94,0.3,2,Medium,1,"APP200,APP073,APP176",3
APP121,morph open-source channels,0.1,0.52,2,Medium,1,0,0
APP122,optimize front-end methodologies,0.8,0.46,13,High,1,"APP636,APP161,APP258,APP159",4
APP123,e-enable virtual bandwidth,0.47,0.32,4,High,1,"APP517,APP578,APP367,APP560,APP348",5
APP124,drive world-class e-services,0.65,0.56,12,Low,0,"APP083,APP389",2
APP125,enable end-to-end e-tailers,0.26,0.64,4,Medium,0,APP669,1
APP126,visualize cross-media synergies,0.44,0.65,1,Medium,0,APP607,1
APP127,re-intermediate cross-platform communities,0.25,0.25,13,High,1,"APP477,APP558,APP582,APP040",4
APP128,reinvent out-of-the-box infrastructures,0.25,0.95,7,Medium,0,"APP619,APP069,APP290,APP002,APP332",5
APP129,deploy global web-readiness,0.16,0.42,9,Medium,1,"APP006,APP376,APP628,APP322,APP462",5
APP130,deploy wireless platforms,0.37,0.88,3,High,1,"APP558,APP686,APP306,APP262,APP462",5
APP131,engineer real-time relationships,0.66,0.65,3,Medium,1,"APP107,APP132",2
APP132,grow turn-key info-mediaries,0.86,0.67,7,High,0,0,0
APP133,optimize scalable solutions,0.92,0.18,4,High,0,"APP422,APP341,APP071,APP218",4
APP134,extend innovative info-mediaries,0.58,0.36,7,Low,0,APP587,1
APP135,visualize front-end e-markets,0.64,0.85,1,Low,0,"APP066,APP380,APP175,APP353,APP070",5
APP136,productize bleeding-edge methodologies,0.68,0.18,7,Low,1,"APP687,APP524,APP370",3
APP137,expedite impactful platforms,0.76,0.69,13,Medium,0,APP108,1
APP138,redefine revolutionary web services,0.14,0.48,11,High,1,APP283,1
APP139,matrix leading-edge action-items,0.94,0.56,14,Medium,1,APP106,1
APP140,disintermediate wireless deliverables,0.95,0.67,12,Low,0,0,0
APP141,strategize impactful applications,0.86,0.17,12,Low,1,"APP212,APP448,APP554,APP268,APP026",5
APP142,leverage robust applications,0.79,0.82,1,Low,0,"APP496,APP564,APP043,APP113",4
APP143,unleash out-of-the-box content,0.29,0.81,8,Low,0,"APP559,APP408,APP323,APP391,APP439",5
APP144,syndicate scalable platforms,0.9,0.33,2,Low,0,"APP526,APP524,APP269,APP350",4
APP145,evolve e-business supply-chains,0.89,0.66,4,Medium,1,APP295,1
APP146,revolutionize impactful synergies,0.35,0.87,8,Medium,0,"APP026,APP459,APP187",3
APP147,embrace collaborative paradigms,0.17,0.2,5,Low,1,APP243,1
APP148,maximize value-added ROI,0.12,0.88,7,High,1,"APP366,APP410,APP542,APP152",4
APP149,aggregate clicks-and-mortar channels,0.6,0.21,7,High,1,APP528,1
APP150,reinvent real-time users,0.86,0.63,1,Low,0,"APP532,APP136,APP598,APP606,APP073",5
APP151,embrace compelling communities,0.91,0.46,6,Low,0,"APP630,APP170,APP089,APP355",4
APP152,incentivize B2B partnerships,0.46,0.26,6,High,1,"APP349,APP460",2
APP153,unleash scalable initiatives,0.75,0.54,8,High,0,"APP214,APP276,APP594",3
APP154,grow holistic schemas,0.54,0.32,3,Low,1,"APP012,APP076,APP396",3
APP155,evolve integrated metrics,1.0,0.76,14,Low,0,"APP189,APP472,APP386",3
APP156,mesh collaborative eyeballs,0.59,0.43,12,Low,1,"APP051,APP385,APP230,APP579",4
APP157,streamline front-end deliverables,0.37,0.78,8,Medium,0,"APP192,APP455,APP234",3
APP158,matrix enterprise e-business,0.11,0.61,10,Medium,1,"APP034,APP166,APP432,APP340",4
APP159,generate clicks-and-mortar technologies,0.97,0.61,9,Medium,1,"APP193,APP455",2
APP160,engage front-end markets,0.27,0.51,5,Medium,0,"APP696,APP249,APP492,APP211,APP094",5
APP161,strategize viral portals,0.26,0.87,4,Medium,1,"APP639,APP458",2
APP162,synergize bleeding-edge experiences,0.34,0.43,11,High,0,"APP154,APP492,APP382",3
APP163,re-contextualize visionary bandwidth,0.88,0.72,13,Low,0,"APP315,APP382,APP279",3
APP164,disintermediate e-business markets,0.5,0.68,5,High,0,"APP515,APP517,APP521,APP593",4
APP165,brand strategic applications,0.3,0.65,4,Low,1,"APP341,APP376,APP290,APP469",4
APP166,leverage revolutionary functionalities,0.13,0.34,5,High,0,0,0
APP167,disintermediate rich e-services,0.97,0.75,14,Medium,1,"APP096,APP198,APP159,APP088",4
APP168,enhance real-time interfaces,0.32,0.27,14,High,1,0,0
APP169,expedite wireless communities,0.95,0.88,2,Medium,0,APP226,1
APP170,enhance open-source web services,0.37,0.79,3,Low,1,"APP156,APP036,APP431,APP493",4
APP171,seize rich vortals,0.95,0.65,10,Medium,1,"APP039,APP059,APP275",3
APP172,maximize web-enabled infrastructures,0.27,0.78,11,High,1,"APP562,APP570,APP353,APP696,APP691",5
APP173,synthesize global solutions,0.48,0.46,14,Medium,1,"APP635,APP534,APP283",3
APP174,cultivate intuitive niches,0.78,0.64,8,High,1,"APP032,APP445,APP654,APP411",4
APP175,engage seamless models,0.88,0.18,12,High,0,"APP118,APP616,APP009,APP373",4
APP176,facilitate next-generation models,0.89,0.71,1,Low,0,"APP606,APP374,APP609,APP035",4
APP177,visualize end-to-end channels,0.5,0.61,3,Low,0,"APP443,APP398,APP185",3
APP178,orchestrate global applications,0.6,0.43,12,Low,1,"APP274,APP306",2
APP179,reinvent bleeding-edge niches,0.19,0.85,15,Medium,1,"APP134,APP203,APP313,APP326,APP378",5
APP180,syndicate viral models,0.86,0.14,14,High,0,"APP084,APP624",2
APP181,iterate 24/365 functionalities,0.36,0.29,4,Medium,1,"APP301,APP101,APP164,APP079",4
APP182,scale web-enabled eyeballs,0.65,0.74,2,Medium,1,"APP071,APP625",2
APP183,embrace customized technologies,0.25,0.39,14,Low,0,"APP410,APP569,APP131",3
APP184,incubate rich e-tailers,0.35,0.33,1,Low,1,"APP121,APP666,APP173,APP043",4
APP185,synergize bleeding-edge paradigms,0.67,0.67,4,High,1,"APP673,APP277,APP023,APP397",4
APP186,unleash impactful partnerships,0.5,0.34,6,Low,0,0,0
APP187,matrix front-end e-business,0.6,0.23,15,Medium,1,"APP321,APP470,APP344,APP474",4
APP188,visualize turn-key metrics,0.42,0.44,11,Low,1,"APP259,APP550,APP221,APP224,APP229",5
APP189,re-contextualize user-centric paradigms,0.45,0.61,3,Low,1,"APP271,APP175,APP597,APP379",4
APP190,cultivate B2C technologies,0.57,0.96,6,High,0,"APP154,APP663",2
APP191,morph world-class experiences,0.97,0.92,2,Medium,0,APP221,1
APP192,mesh virtual eyeballs,0.17,0.82,3,Medium,1,"APP275,APP134,APP154,APP672",4
APP193,evolve dynamic metrics,0.89,0.31,3,Low,0,"APP332,APP570,APP321,APP643,APP014",5
APP194,orchestrate bricks-and-clicks architectures,0.55,0.78,6,Low,1,"APP596,APP183,APP077,APP212",4
APP195,harness scalable solutions,0.43,0.16,1,Low,0,"APP623,APP375,APP011,APP411",4
APP196,orchestrate web-enabled markets,0.48,0.21,6,Medium,1,APP312,1
APP197,synthesize value-added synergies,0.66,0.19,13,High,1,"APP157,APP064,APP120",3
APP198,evolve intuitive technologies,0.77,0.64,8,High,1,"APP375,APP201",2
APP199,matrix B2B e-services,0.15,0.8,4,Low,1,"APP024,APP627",2
APP200,syndicate innovative metrics,0.66,0.93,15,Medium,1,0,0
APP201,transition extensible architectures,0.55,0.51,15,Low,0,"APP670,APP234,APP556,APP091",4
APP202,repurpose killer applications,0.67,0.86,7,High,0,"APP555,APP407,APP084,APP082,APP161",5
APP203,transform best-of-breed functionalities,0.43,0.98,10,Low,0,"APP280,APP689",2
APP204,revolutionize front-end portals,1.0,0.56,6,Medium,1,APP096,1
APP205,scale viral infrastructures,0.21,0.69,9,Medium,0,"APP151,APP157,APP692",3
APP206,streamline best-of-breed ROI,0.41,0.31,3,High,0,0,0
APP207,optimize cutting-edge portals,0.45,0.7,5,Medium,1,"APP403,APP421,APP098,APP627",4
APP208,aggregate revolutionary mindshare,0.6,0.89,6,Medium,0,"APP083,APP663,APP649",3
APP209,re-intermediate user-centric systems,0.33,0.57,7,High,1,"APP340,APP093",2
APP210,synergize interactive initiatives,0.3,0.14,14,Low,1,"APP658,APP310,APP083",3
APP211,visualize vertical web services,0.75,0.77,9,Medium,1,APP475,1
APP212,engage back-end methodologies,0.95,0.45,7,Low,0,0,0
APP213,benchmark compelling markets,0.23,0.41,4,Low,0,"APP204,APP423,APP224",3
APP214,expedite sticky portals,0.16,0.67,6,Medium,1,"APP655,APP665,APP027",3
APP215,facilitate bleeding-edge e-commerce,0.55,0.58,11,Medium,0,"APP087,APP441",2
APP216,incentivize bleeding-edge solutions,0.58,0.16,2,Low,1,0,0
APP217,monetize impactful networks,0.41,0.4,2,High,0,APP536,1
APP218,syndicate next-generation models,0.35,0.55,11,Low,0,"APP107,APP543,APP044,APP527",4
APP219,brand cross-media paradigms,0.77,0.85,1,Medium,0,"APP652,APP249,APP574,APP648",4
APP220,maximize holistic experiences,0.34,0.87,14,Low,1,0,0
APP221,transform frictionless bandwidth,0.31,0.39,11,Medium,0,"APP368,APP133",2
APP222,optimize one-to-one systems,0.86,0.23,11,Medium,0,"APP164,APP129,APP636",3
APP223,iterate e-business markets,0.71,0.83,9,Low,0,"APP363,APP098,APP685,APP397",4
APP224,drive holistic experiences,0.96,0.79,14,Low,1,"APP445,APP642",2
APP225,morph distributed architectures,0.26,0.77,7,Low,1,"APP027,APP552,APP466,APP119,APP196",5
APP226,evolve innovative e-services,0.18,0.35,14,Low,0,"APP225,APP692,APP699,APP355",4
APP227,synthesize intuitive systems,0.2,0.39,9,High,1,"APP360,APP291,APP359,APP696,APP382",5
APP228,re-intermediate mission-critical relationships,0.61,0.22,4,Low,0,"APP250,APP340,APP095",3
APP229,exploit cross-platform eyeballs,0.71,0.77,14,Medium,1,"APP656,APP097,APP227,APP219,APP515",5
APP230,seize enterprise initiatives,0.5,0.84,13,High,0,APP006,1
APP231,enable collaborative platforms,0.78,0.49,9,High,1,0,0
APP232,engineer bleeding-edge models,0.63,0.78,4,Low,1,"APP587,APP546,APP481,APP618",4
APP233,embrace visionary web services,0.5,0.57,7,High,0,"APP339,APP637,APP129",3
APP234,deliver innovative bandwidth,0.2,0.39,7,High,0,"APP351,APP169,APP150",3
APP235,implement strategic paradigms,0.6,0.64,8,High,1,"APP274,APP063,APP376,APP105",4
APP236,aggregate leading-edge interfaces,0.88,0.82,8,Low,0,APP681,1
APP237,harness impactful functionalities,0.77,0.31,10,Medium,1,"APP108,APP240,APP352,APP379",4
APP238,iterate seamless technologies,0.27,0.8,13,High,1,"APP259,APP149",2
APP239,productize leading-edge info-mediaries,0.73,0.63,10,Low,0,"APP428,APP355,APP601",3
APP240,synergize B2B mindshare,0.41,0.33,10,High,1,APP625,1
APP241,implement holistic models,0.39,0.84,3,Medium,0,"APP642,APP231,APP420,APP562",4
APP242,streamline cross-media partnerships,0.32,0.3,13,Medium,0,"APP257,APP336,APP605",3
APP243,re-intermediate sticky action-items,0.71,1.0,3,Medium,0,"APP425,APP603,APP430,APP311,APP150",5
APP244,reinvent one-to-one applications,0.69,0.2,3,High,0,"APP559,APP586",2
APP245,brand bricks-and-clicks bandwidth,0.46,0.62,11,Low,0,"APP253,APP441,APP500,APP334,APP584",5
APP246,extend holistic models,0.58,0.99,7,Low,1,"APP536,APP620",2
APP247,e-enable cross-platform eyeballs,0.13,0.97,2,Medium,1,"APP131,APP335,APP700,APP665,APP658",5
APP248,seize out-of-the-box e-markets,0.82,0.16,9,High,0,"APP539,APP217,APP292",3
APP249,productize 24/365 models,0.84,0.88,6,High,1,"APP006,APP582",2
APP250,extend visionary bandwidth,0.44,0.16,5,Low,1,APP073,1
APP251,architect interactive e-services,0.45,0.61,1,Low,0,"APP431,APP678,APP072,APP222",4
APP252,brand virtual markets,0.55,0.87,9,Medium,0,"APP552,APP111,APP266",3
APP253,re-intermediate value-added ROI,0.7,0.3,6,Medium,0,"APP482,APP091,APP585,APP251",4
APP254,revolutionize cutting-edge e-markets,0.82,0.76,5,Low,0,"APP252,APP012,APP473",3
APP255,enhance sticky web-readiness,0.53,0.91,9,Medium,0,0,0
APP256,synergize revolutionary communities,0.2,0.93,4,Low,1,"APP368,APP646,APP357,APP219",4
APP257,transition rich e-services,0.61,0.43,5,Medium,0,"APP058,APP692",2
APP258,brand bricks-and-clicks ROI,0.27,0.25,8,Low,1,APP198,1
APP259,synergize open-source markets,0.11,0.97,9,Medium,1,"APP606,APP608",2
APP260,target global content,0.69,0.37,9,Medium,0,"APP584,APP593,APP306,APP126",4
APP261,innovate 24/7 infrastructures,0.67,0.26,1,Medium,1,"APP361,APP367",2
APP262,evolve efficient eyeballs,0.2,0.98,2,Low,0,"APP340,APP427",2
APP263,re-contextualize rich applications,0.6,0.53,6,Medium,0,"APP489,APP620,APP111,APP300,APP103",5
APP264,transition cross-media infrastructures,0.66,0.74,2,High,1,APP355,1
APP265,evolve impactful supply-chains,0.73,1.0,11,Medium,1,"APP652,APP658,APP404,APP127,APP671",5
APP266,optimize efficient metrics,0.44,0.24,11,High,0,"APP640,APP002,APP342",3
APP267,architect plug-and-play users,0.31,0.2,5,High,0,"APP375,APP500,APP390,APP088",4
APP268,strategize global e-business,0.12,0.77,9,Medium,1,"APP081,APP454,APP121,APP611",4
APP269,revolutionize impactful e-business,0.59,0.61,5,Medium,1,"APP573,APP537,APP320,APP133,APP519",5
APP270,whiteboard turn-key channels,0.6,0.31,7,Low,1,"APP455,APP638,APP438,APP191",4
APP271,integrate cutting-edge schemas,0.3,0.66,15,High,0,"APP536,APP584",2
APP272,redefine e-business metrics,0.58,0.42,15,Low,1,APP317,1
APP273,integrate sticky interfaces,0.48,0.59,9,Medium,0,APP348,1
APP274,incubate back-end vortals,0.89,0.88,11,Low,1,APP472,1
APP275,innovate granular architectures,0.87,0.65,3,Medium,0,"APP186,APP694,APP563,APP074,APP596",5
APP276,synergize robust schemas,0.77,0.18,7,High,0,APP447,1
APP277,disintermediate plug-and-play technologies,0.57,0.48,8,Low,0,APP512,1
APP278,empower synergistic initiatives,0.61,0.65,12,High,0,"APP077,APP626,APP553,APP001,APP383",5
APP279,engage real-time applications,0.94,0.7,3,Medium,1,"APP227,APP232,APP094,APP103",4
APP280,transition seamless solutions,0.13,1.0,13,Low,1,"APP301,APP103,APP410,APP218,APP597",5
APP281,revolutionize impactful web-readiness,0.35,0.97,2,High,1,"APP069,APP346",2
APP282,embrace value-added e-markets,0.61,0.64,8,High,0,"APP521,APP273,APP034,APP222,APP077",5
APP283,re-intermediate e-business synergies,0.26,0.5,10,Medium,0,"APP434,APP206,APP484",3
APP284,expedite distributed platforms,0.93,0.48,9,Medium,0,APP414,1
APP285,architect seamless info-mediaries,0.27,0.74,10,Medium,0,APP603,1
APP286,morph dynamic eyeballs,0.46,0.62,10,High,0,"APP618,APP519,APP623,APP429",4
APP287,optimize vertical functionalities,0.97,0.74,6,Low,1,"APP101,APP485,APP097",3
APP288,implement mission-critical ROI,0.1,0.16,15,High,1,"APP400,APP691,APP050,APP206,APP127",5
APP289,transform cross-platform models,0.57,0.39,2,High,1,"APP648,APP169,APP101,APP117",4
APP290,optimize out-of-the-box paradigms,0.84,0.31,9,Medium,1,"APP025,APP339,APP592",3
APP291,redefine open-source synergies,0.65,0.6,9,High,0,"APP225,APP597",2
APP292,enhance open-source mindshare,0.22,0.4,3,Medium,0,"APP327,APP004,APP564,APP371,APP574",5
APP293,enhance visionary metrics,0.46,0.97,7,Low,1,"APP152,APP419",2
APP294,embrace interactive convergence,0.58,0.3,1,Medium,1,"APP146,APP147,APP302,APP043,APP269",5
APP295,synergize scalable niches,0.74,0.99,5,High,1,APP249,1
APP296,enable efficient e-tailers,0.58,0.95,4,High,1,"APP640,APP672,APP433",3
APP297,transition vertical info-mediaries,0.67,0.15,8,Medium,0,"APP332,APP205,APP463",3
APP298,scale visionary solutions,0.25,0.13,10,High,1,"APP234,APP361,APP026,APP122,APP447",5
APP299,synthesize viral communities,0.52,0.3,9,Medium,1,"APP324,APP499,APP562,APP356",4
APP300,deploy best-of-breed functionalities,0.73,0.36,8,High,1,"APP212,APP320",2
APP301,whiteboard virtual communities,0.43,0.51,4,Low,0,0,0
APP302,streamline seamless systems,0.57,0.77,1,Medium,0,APP244,1
APP303,brand magnetic technologies,0.96,0.35,4,Low,1,APP215,1
APP304,harness value-added interfaces,0.29,0.84,1,High,1,"APP637,APP486,APP472,APP255,APP526",5
APP305,transform seamless deliverables,0.42,0.87,3,Medium,1,APP685,1
APP306,exploit collaborative e-tailers,0.8,0.25,5,High,1,0,0
APP307,brand web-enabled applications,0.91,0.64,8,Medium,0,"APP617,APP367,APP046,APP476,APP038",5
APP308,productize collaborative bandwidth,0.54,0.21,9,High,0,0,0
APP309,visualize holistic applications,0.65,0.52,1,Low,0,APP107,1
APP310,benchmark impactful communities,0.38,0.62,14,Low,0,"APP135,APP332",2
APP311,monetize next-generation methodologies,0.5,0.7,11,Low,0,"APP075,APP682,APP596,APP333",4
APP312,disintermediate rich communities,0.66,0.92,5,Low,1,"APP008,APP024",2
APP313,cultivate efficient web-readiness,0.93,0.74,5,Low,0,"APP537,APP653",2
APP314,repurpose interactive e-commerce,0.2,0.47,7,Medium,0,"APP626,APP007,APP557,APP401,APP188",5
APP315,utilize user-centric experiences,0.38,0.88,12,Low,1,0,0
APP316,integrate next-generation mindshare,0.11,0.88,6,High,1,APP534,1
